"post","created","man"
"My man looks like Pat Boone being tased",2026-07-16 21:50:15.01,"Stephen Miller"
"My man looks like the mayor of a town that banned dancing",2026-07-16 21:50:42.473,"Stephen Miller"
"My man looks like he pardoned a pedophile",2026-07-16 21:51:20.044,"Stephen Miller"
"My man looks like he has a Master's degree in ethnic slurs",2026-07-16 21:52:24.374,"Stephen Miller"
"My man looks like he was caught masturbating in a confessional",2026-07-16 21:53:37.93,"Stephen Miller"
"My man looks like he polished off an entire bar's worth of Fireball shots",2026-07-16 21:54:28.083,"Stephen Miller"
"My man looks like that stripper really likes him",2026-07-16 21:54:53.745,"Stephen Miller"
"My man looks like he's telling his wife that his secretary is just checking his ""bathing suit zone"" for suspicious moles",2026-07-16 21:56:05.454,"Stephen Miller"
"My man looks like he caught his limit of runaways early today",2026-07-16 21:56:39.827,"Stephen Miller"
"My man looks like he has a crawlspace full of hobo bindles",2026-07-16 21:57:21.424,"Stephen Miller"
"My man looks like Dick Van Patten ate Dick Van Dyke",2026-07-16 21:58:38.877,"Stephen Miller"
"My man looks like he's shouted ""do you know who I am?"" to a Girl Scout troop",2026-07-16 21:59:23.207,"Stephen Miller"
"My man looks like Randall Flagg from THE STAND ran for public office.",2026-07-16 22:00:02.912,"Stephen Miller"
"My man looks like Dr. Evil tried to go legit",2026-07-16 22:00:57.128,"Stephen Miller"
"My man looks like a Thomas Nast cartoon got its wish to become a real boy",2026-07-16 22:02:12.158,"Stephen Miller"
"My man looks like the ""Freedom of Speech"" poster if Norman Rockwell had been a meth addict",2026-07-16 22:02:51.964,"Stephen Miller"
"My man looks like he's a member of a country club that's banned Catholics",2026-07-16 22:03:55.986,"Stephen Miller"
"My man looks like a Batman villain called The Comptroller",2026-07-16 22:04:16.514,"Stephen Miller"
"My man looks like he's writing an amicus brief to support prima noctae",2026-07-16 22:05:22.902,"Stephen Miller"
"My man looks like he uses the term ""ephebopilia"" too comfortably",2026-07-16 22:06:24.99,"Stephen Miller"
"My man looks like he's an accountant for something only referred to as ""the outfit""",2026-07-16 22:08:00.712,"Stephen Miller"
"My man looks like Temu John Lithgow",2026-07-16 22:12:14.584,"Stephen Miller"
"My man looks like he's trying to explain to the state trooper why he was driving pantsless",2026-07-16 22:13:00.789,"Stephen Miller"
"My man looks like the bad guy from a Police Academy movie.",2026-07-16 22:13:21.358,"Stephen Miller"
